x,y,index
0.9655172413793104,0.0,0
0.9310344827586207,0.0049261083743842365,1
0.896551724137931,0.009852216748768473,2
0.8620689655172413,0.014778325123152709,3
0.8275862068965517,0.019704433497536946,4
0.7931034482758621,0.024630541871921183,5
0.7586206896551724,0.029556650246305417,6
0.7241379310344828,0.034482758620689655,7
0.6896551724137931,0.03940886699507389,8
0.6551724137931034,0.04433497536945813,9
0.6206896551724138,0.04926108374384237,10
0.5862068965517242,0.0541871921182266,11
0.5517241379310345,0.059113300492610835,12
0.5172413793103448,0.06403940886699507,13
0.48275862068965514,0.06896551724137931,14
0.4482758620689655,0.07389162561576355,15
0.4137931034482759,0.07881773399014778,16
0.3793103448275862,0.08374384236453201,17
0.3448275862068966,0.08866995073891626,18
0.31034482758620685,0.09359605911330049,19
0.27586206896551724,0.09852216748768473,20
0.24137931034482762,0.10344827586206896,21
0.2068965517241379,0.1083743842364532,22
0.1724137931034483,0.11330049261083744,23
0.13793103448275867,0.11822660098522167,24
0.10344827586206895,0.1231527093596059,25
0.06896551724137934,0.12807881773399013,26
0.03448275862068961,0.13300492610837436,27
0.0,0.13793103448275862,28
0.0,0.14285714285714285,29
0.034482758620689655,0.14778325123152708,30
0.06896551724137931,0.1527093596059113,31
0.10344827586206896,0.15763546798029557,32
0.13793103448275862,0.1625615763546798,33
0.1724137931034483,0.16748768472906403,34
0.20689655172413793,0.17241379310344826,35
0.2413793103448276,0.17733990147783252,36
0.27586206896551724,0.18226600985221675,37
0.3103448275862069,0.18719211822660098,38
0.3448275862068966,0.1921182266009852,39
0.3793103448275862,0.19704433497536944,40
0.41379310344827586,0.20197044334975367,41
0.4482758620689655,0.2068965517241379,42
0.4827586206896552,0.21182266009852216,43
0.5172413793103449,0.21674876847290642,44
0.5517241379310345,0.22167487684729065,45
0.5862068965517241,0.22660098522167488,46
0.6206896551724138,0.2315270935960591,47
0.6551724137931034,0.23645320197044334,48
0.6896551724137931,0.24137931034482757,49
0.7241379310344828,0.2463054187192118,50
0.7586206896551724,0.25123152709359603,51
0.7931034482758621,0.2561576354679803,52
0.8275862068965517,0.26108374384236455,53
0.8620689655172413,0.2660098522167488,54
0.896551724137931,0.270935960591133,55
0.9310344827586207,0.27586206896551724,56
0.9655172413793104,0.28078817733990147,57
0.96875,0.2857142857142857,58
0.9375,0.2901785714285714,59
0.90625,0.29464285714285715,60
0.875,0.29910714285714285,61
0.84375,0.30357142857142855,62
0.8125,0.30803571428571425,63
0.78125,0.3125,64
0.75,0.3169642857142857,65
